location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,5.7,13.0,-0.8,薄曇,曇時々晴後一時雨
福井市,2,7.8,14.1,3.7,曇時々晴一時雨,雨一時曇、雷を伴う
福井市,3,6.5,10.5,1.7,曇一時雨後晴,晴
福井市,4,6.3,14.9,-0.3,晴時々薄曇,晴一時曇
福井市,5,8.1,15.6,1.5,曇一時晴,曇一時晴
福井市,6,7.8,13.9,4.7,曇後時々雨,曇時々雨、あられを伴う
福井市,7,2.6,5.4,0.4,みぞれ時々雪、雷・あられを伴う,雪時々曇、雷・あられを伴う
福井市,8,1.3,3.1,0.2,曇時々雪一時みぞれ、あられを伴う,雪一時みぞれ、雷・あられを伴う
福井市,9,2.2,4.5,0.4,雪時々みぞれ後雨一時曇,曇時々雨一時雪、雷・あられを伴う
福井市,10,4.4,8.6,0.7,曇時々雨後時々晴,曇時々雨一時晴
福井市,11,4.5,10.6,0.3,晴時々曇、霧を伴う,晴後時々薄曇
福井市,12,5.1,13.6,-1.0,晴時々薄曇,薄曇
福井市,13,9.3,16.7,2.7,曇,雨後曇
福井市,14,7.1,10.8,4.5,曇後一時雨,雨時々曇、雷・あられを伴う
福井市,15,5.9,10.1,3.0,雨時々曇、あられを伴う,雨時々曇、あられを伴う
福井市,16,6.2,10.1,3.6,曇一時雨後時々晴,曇一時雨
福井市,17,5.7,11.9,1.6,曇後晴,晴
福井市,18,6.9,13.7,1.0,晴後曇,晴時々曇一時雨
福井市,19,9.3,16.3,2.4,晴後一時薄曇,晴一時曇、霧を伴う
福井市,20,8.8,15.9,2.1,晴一時霧後薄曇,曇後雨
福井市,21,8.0,10.3,6.4,雨,曇時々雨
福井市,22,8.1,12.7,4.0,晴時々曇,曇時々晴後時々雨
福井市,23,7.6,13.4,3.2,薄曇一時晴,曇時々雨一時晴
福井市,24,6.3,10.5,2.7,晴時々曇一時雨、みぞれを伴う,曇時々晴
福井市,25,6.0,12.1,0.7,薄曇時々晴,晴後曇
福井市,26,7.1,12.4,2.1,曇一時晴後時々雨,曇時々雨
福井市,27,7.4,11.9,3.5,雨後曇時々晴,晴
福井市,28,6.7,12.7,0.9,晴後曇時々雨、雷・あられを伴う,晴一時曇
福井市,29,8.5,15.3,1.8,晴時々薄曇、霧を伴う,曇
福井市,30,11.5,18.3,6.0,曇時々晴,曇時々晴
福井市,31,7.8,9.2,5.4,曇,曇
