location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,28.1,32.5,25.2,晴時々曇,晴時々曇
福井市,2,27.7,32.3,24.9,曇時々晴,曇
福井市,3,27.5,32.1,24.2,曇一時雨後晴,晴時々曇
福井市,4,27.6,32.7,24.3,晴一時曇,晴一時薄曇
福井市,5,28.5,34.2,24.5,晴,晴
福井市,6,29.2,33.7,24.9,晴,晴一時薄曇
福井市,7,30.6,36.2,25.8,晴,晴時々曇、雷を伴う
福井市,8,29.1,33.4,25.9,晴,晴後時々曇一時雨
福井市,9,27.7,31.7,24.4,晴時々曇一時雨,晴一時曇
福井市,10,25.9,30.6,22.5,晴後時々曇,晴後時々薄曇
福井市,11,25.7,31.0,20.6,薄曇後一時晴,晴
福井市,12,28.2,33.9,22.8,晴,快晴
福井市,13,29.4,35.5,24.5,晴,晴後一時曇
福井市,14,28.9,34.5,24.7,晴時々曇,曇時々晴後一時雨、雷を伴う
福井市,15,26.3,30.4,24.5,雨後晴一時曇、雷を伴う,晴一時雨後曇
福井市,16,28.1,33.0,24.9,曇後一時雨,曇一時雨
福井市,17,27.7,32.0,25.3,曇一時雨後晴,曇
福井市,18,28.2,32.5,25.2,曇後晴,曇時々晴
福井市,19,28.9,33.4,25.5,晴,晴後曇
福井市,20,28.4,33.1,25.3,晴時々曇,曇時々雨、雷を伴う
福井市,21,29.1,35.5,25.1,晴,晴
福井市,22,28.5,32.9,25.3,晴後曇,曇一時雨後時々晴
福井市,23,27.9,31.7,24.8,晴,晴後一時曇
福井市,24,27.3,31.9,23.8,曇一時晴後一時雨,曇後時々晴
福井市,25,29.9,34.6,25.0,晴,晴後一時曇
福井市,26,27.5,33.3,23.9,曇後一時雨,雨一時曇
福井市,27,24.2,28.6,21.7,曇一時雨後時々晴,曇一時晴
福井市,28,23.4,26.4,20.6,曇一時雨,曇後一時晴
福井市,29,24.6,30.2,21.1,曇後時々雨,大雨
福井市,30,22.0,25.7,20.3,雨後曇時々晴,曇時々晴一時雨
福井市,31,27.1,32.3,23.1,快晴,晴
