location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,10.2,14.0,6.2,曇時々雨,晴一時薄曇
福井市,2,8.5,15.5,2.3,晴時々薄曇一時霧,曇時々晴後雨
福井市,3,14.5,18.9,10.0,雨後曇,曇時々雨
福井市,4,17.3,23.3,13.8,曇時々雨、雷を伴う,雨一時曇、雷を伴う
福井市,5,11.2,14.0,6.2,曇一時雨後時々晴,晴後時々薄曇
福井市,6,8.7,11.7,5.9,曇後雨,雨時々曇
福井市,7,9.6,12.6,4.8,雨時々曇,雨時々曇
福井市,8,4.9,7.2,2.8,雨時々曇、あられを伴う,雨時々曇
福井市,9,2.7,4.9,0.5,雨一時雪後時々曇、あられを伴う,曇一時雨後一時霧
福井市,10,3.0,8.5,0.5,晴時々曇一時雨,晴後霧
福井市,11,3.7,7.3,-0.7,曇後一時雨、霧を伴う,雨
福井市,12,7.2,11.6,4.9,雨後時々曇,曇時々雨
福井市,13,6.3,10.7,3.0,曇後晴一時雨,雨時々曇、雷・あられを伴う
福井市,14,4.7,7.3,2.5,曇時々雨、みぞれを伴う,みぞれ時々雨一時曇、あられを伴う
福井市,15,3.4,6.9,1.0,曇時々雨一時みぞれ、あられを伴う,晴一時曇
福井市,16,5.7,11.9,-0.8,曇一時晴,雨後一時曇
福井市,17,7.5,10.5,5.4,雨時々曇、雷を伴う,雨時々曇、雷・あられを伴う
福井市,18,5.3,7.2,3.2,雨時々曇、雷を伴う,雨時々曇、雷・あられを伴う
福井市,19,5.9,8.3,3.1,雨時々曇、雷を伴う,曇時々雨
福井市,20,7.5,10.7,5.2,曇時々雨,霧一時晴
福井市,21,8.3,14.8,4.1,晴一時霧,雨時々曇
福井市,22,10.8,16.1,6.3,晴時々曇一時雨,晴後霧
福井市,23,8.8,12.3,5.9,曇後雨、霧を伴う,雨一時曇
福井市,24,5.7,10.1,1.1,晴一時雨,晴後時々曇、みぞれを伴う
福井市,25,5.5,10.7,0.2,薄曇一時晴,薄曇一時雨
福井市,26,6.7,8.1,5.4,雨後時々曇,曇時々雨一時霧
福井市,27,5.5,9.2,1.7,雨時々曇、あられを伴う,雨後雪時々曇、あられを伴う
