location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,16.5,22.8,11.9,曇一時晴,晴
福井市,2,19.7,30.0,10.6,薄曇後晴,晴
福井市,3,22.2,25.0,18.7,曇後一時雨、大風を伴う,雨時々曇一時晴、大風を伴う
福井市,4,20.8,25.2,15.2,晴,晴一時雨、雷を伴う
福井市,5,17.8,21.7,13.6,晴一時曇,薄曇
福井市,6,16.9,23.6,11.8,曇後雨,曇一時雨
福井市,7,17.2,20.5,13.4,雨時々曇一時晴,薄曇後晴
福井市,8,15.7,21.3,10.4,晴後薄曇,薄曇
福井市,9,18.0,23.0,13.3,曇後雨,雨時々曇
福井市,10,19.0,23.5,16.2,曇時々雨,雨後時々曇
福井市,11,16.2,22.2,13.6,雨後一時曇,雨時々曇
福井市,12,16.5,21.8,13.4,晴,快晴
福井市,13,19.4,27.3,13.2,晴後薄曇,曇後一時晴
福井市,14,18.3,22.8,15.1,曇後一時晴,晴時々曇
福井市,15,21.6,27.6,14.7,薄曇後晴,薄曇時々晴
福井市,16,19.9,26.6,12.2,薄曇後一時雨,雨
福井市,17,14.8,19.3,11.0,曇後時々晴,晴後曇
福井市,18,17.2,23.2,12.7,晴,快晴
福井市,19,19.8,27.1,13.1,薄曇一時晴,薄曇
福井市,20,20.4,27.9,15.2,晴,快晴
福井市,21,18.4,23.1,14.3,晴,晴一時曇
福井市,22,19.8,25.1,15.0,晴,晴後一時薄曇
福井市,23,21.3,29.5,14.5,晴,晴時々薄曇
福井市,24,24.5,32.2,16.1,薄曇,曇後時々雨
福井市,25,23.9,25.7,21.9,曇時々雨,曇後時々晴
福井市,26,24.7,29.7,20.1,曇一時晴,雨時々曇
福井市,27,20.6,24.2,18.0,曇時々雨後晴,晴後曇
福井市,28,20.2,24.5,17.3,曇後一時晴,晴後一時霧
福井市,29,21.3,30.9,14.8,晴後曇一時雨,雨
福井市,30,19.2,21.3,17.2,雨時々曇,曇一時雨
福井市,31,22.1,28.2,18.2,薄曇,薄曇一時晴
