location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,18.5,22.4,15.2,曇後晴,晴
福井市,2,19.8,26.1,13.3,快晴,快晴
福井市,3,23.6,30.6,15.9,晴一時薄曇,薄曇一時晴
福井市,4,24.1,29.4,18.7,晴,晴一時曇
福井市,5,22.7,27.5,18.4,曇後時々雨,雨
福井市,6,20.3,22.2,19.0,雨後時々曇,曇後時々晴
福井市,7,23.0,28.5,18.2,晴,晴
福井市,8,23.4,30.0,19.3,晴後曇時々雨,曇時々雨
福井市,9,21.3,25.2,17.5,曇,晴後曇
福井市,10,20.4,23.8,17.3,曇,雨時々曇
福井市,11,20.5,25.3,18.6,曇後時々雨,雨一時曇
福井市,12,19.1,22.0,17.4,雨時々曇,曇時々雨
福井市,13,18.7,22.8,15.7,晴時々曇一時雨,晴時々曇
福井市,14,19.1,24.0,14.1,晴後薄曇,曇
福井市,15,18.8,24.0,16.2,曇時々雨,曇後時々雨
福井市,16,17.8,22.5,14.4,曇後晴,晴
福井市,17,21.5,28.3,12.6,晴後薄曇,薄曇
福井市,18,23.9,28.4,20.2,晴時々曇,晴時々曇
福井市,19,25.4,31.5,19.9,薄曇,雨一時曇
福井市,20,22.2,26.1,19.9,雨時々曇,雨後曇
福井市,21,22.4,26.3,19.2,曇,晴
福井市,22,22.9,29.3,16.7,晴時々薄曇,薄曇一時晴
福井市,23,21.0,25.7,17.9,曇時々雨,曇後時々晴
福井市,24,23.5,29.3,17.7,晴一時薄曇,晴一時薄曇
福井市,25,25.1,31.7,18.9,晴後時々薄曇,薄曇時々晴
福井市,26,27.5,33.4,21.0,薄曇,曇一時雨
福井市,27,29.4,31.9,25.3,曇時々雨,雨時々曇
福井市,28,27.8,32.5,23.5,曇一時雨,曇後晴
福井市,29,27.0,32.5,22.6,曇時々雨、雷を伴う,曇時々雨
福井市,30,27.5,33.8,22.3,曇後晴一時雨,曇時々晴
