location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,14.4,20.6,6.7,晴後曇,曇
福井市,2,16.9,23.5,10.8,晴後薄曇,曇一時晴
福井市,3,18.3,20.8,15.0,曇一時雨,雨一時曇
福井市,4,12.0,16.7,9.8,雨一時曇,曇一時雨後時々晴
福井市,5,11.6,16.7,7.7,晴時々曇,晴
福井市,6,12.8,20.8,5.2,晴後時々薄曇,曇後時々雨
福井市,7,14.2,17.8,10.7,雨,雨時々曇
福井市,8,13.7,16.8,10.6,曇,晴一時薄曇
福井市,9,15.8,23.8,8.2,薄曇,晴一時薄曇
福井市,10,14.5,20.9,10.4,薄曇,曇後雨
福井市,11,8.0,13.0,5.0,曇時々晴一時雨,曇後晴
福井市,12,10.5,16.8,2.2,晴後薄曇,薄曇後一時晴
福井市,13,16.2,21.5,12.7,曇一時晴後時々雨,雨後一時曇
福井市,14,15.3,22.0,12.0,薄曇後晴,曇時々晴一時雨
福井市,15,11.7,15.1,7.3,晴一時曇,快晴
福井市,16,16.5,26.4,5.3,晴後薄曇,曇後雨
福井市,17,19.8,26.6,12.9,晴一時雨、大風を伴う,晴後曇
福井市,18,13.6,17.3,10.2,曇,薄曇後晴
福井市,19,11.9,18.0,6.9,晴時々曇,晴一時曇
福井市,20,15.2,24.0,6.2,晴後薄曇,曇一時晴
福井市,21,16.6,20.3,14.4,雨一時曇,雨
福井市,22,14.6,16.0,12.2,雨一時曇,薄曇時々晴
福井市,23,16.1,23.7,10.9,曇一時晴,雨後曇
福井市,24,14.5,19.8,11.6,曇一時晴,薄曇一時晴
福井市,25,15.9,21.9,10.1,薄曇一時晴,薄曇後晴
福井市,26,18.2,24.7,11.9,晴,薄曇
福井市,27,17.9,24.5,13.4,薄曇,雨一時曇
福井市,28,13.2,16.2,11.7,雨,雨後曇
福井市,29,11.7,15.3,7.8,曇一時雨,晴
福井市,30,13.6,20.4,5.7,曇一時晴,曇一時雨
