location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,19.8,27.0,13.4,薄曇時々晴,曇後一時晴
福井市,2,19.5,25.0,16.4,曇後雨,雨時々曇
福井市,3,15.6,19.1,11.7,曇時々雨一時晴,晴後雨、雷を伴う
福井市,4,13.5,18.6,9.6,晴一時雨、あられを伴う,晴一時曇
福井市,5,16.9,23.3,10.0,晴,晴時々薄曇
福井市,6,19.1,28.6,11.3,薄曇一時晴,大雨
福井市,7,16.0,17.6,14.8,雨,曇一時雨
福井市,8,15.2,16.2,14.4,曇一時雨,雨時々曇
福井市,9,14.1,17.3,11.7,曇時々雨,雨一時曇
福井市,10,12.3,16.0,8.4,曇後晴,晴後一時薄曇
福井市,11,15.5,24.7,6.6,薄曇時々晴,晴時々薄曇
福井市,12,18.3,26.7,10.6,曇,曇
福井市,13,17.7,19.9,16.2,大雨,雨時々曇
福井市,14,16.8,20.6,13.4,曇後晴,晴後一時曇、霧を伴う
福井市,15,21.1,29.5,12.0,晴一時薄曇,晴一時薄曇
福井市,16,24.5,30.5,16.8,薄曇,曇
福井市,17,22.6,23.8,21.6,曇時々雨,曇一時晴
福井市,18,23.3,30.4,15.4,曇後一時雨,大雨
福井市,19,13.6,15.6,12.3,曇時々雨,曇時々雨後一時晴
福井市,20,16.3,21.2,11.3,晴後一時薄曇,曇
福井市,21,19.3,25.7,13.6,晴時々薄曇,晴
福井市,22,21.0,27.4,13.3,晴,曇時々晴
福井市,23,19.9,22.8,17.6,雨一時曇,雨時々曇
福井市,24,18.3,22.4,14.6,晴一時曇,晴
福井市,25,21.3,29.2,12.2,晴一時薄曇,薄曇一時晴
福井市,26,21.1,28.0,15.1,薄曇後晴,快晴
福井市,27,20.7,27.3,13.5,晴後薄曇,薄曇
福井市,28,23.4,28.3,18.3,曇,晴
福井市,29,23.3,28.8,17.5,曇,曇
福井市,30,19.2,21.7,16.3,雨時々曇、雷を伴う,曇後一時雨
福井市,31,18.2,22.0,15.9,雨時々曇、雷を伴う,曇時々雨、雷を伴う
