location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,27.5,31.1,25.2,曇後一時晴,晴一時曇
福井市,2,27.3,32.1,22.6,晴時々薄曇,晴時々曇
福井市,3,28.5,33.6,24.2,晴,晴
福井市,4,30.2,35.3,25.1,薄曇一時晴,晴
福井市,5,30.8,35.9,26.1,晴,晴時々曇
福井市,6,31.9,36.9,27.2,晴,晴後薄曇
福井市,7,30.2,32.4,26.4,曇時々雨,大雨一時曇
福井市,8,25.9,27.4,24.0,雨後時々曇,曇時々雨
福井市,9,27.2,31.6,23.8,晴,晴後一時曇
福井市,10,26.8,30.4,24.1,曇後一時晴,曇後時々晴
福井市,11,28.6,33.0,25.2,晴,曇時々雨一時晴
福井市,12,26.9,30.6,24.9,曇時々晴一時雨,曇
福井市,13,26.1,29.8,23.7,曇一時晴,曇
福井市,14,26.1,29.6,23.5,曇,曇後時々雨
福井市,15,24.4,26.1,22.9,曇時々雨,曇時々雨
福井市,16,25.7,30.1,23.5,曇後時々晴,晴
福井市,17,26.7,31.6,22.3,晴時々曇一時雨,曇時々雨
福井市,18,27.1,31.2,24.8,晴時々曇一時雨,曇一時雨
福井市,19,26.8,30.6,24.2,曇時々晴一時雨,薄曇後晴
福井市,20,26.8,31.7,23.1,薄曇時々晴,薄曇
福井市,21,29.5,34.6,24.1,薄曇,曇
福井市,22,28.2,33.5,24.7,曇時々雨、雷を伴う,曇
福井市,23,26.6,30.7,24.2,曇時々雨,曇時々雨後一時晴
福井市,24,29.5,35.0,25.5,晴,晴後曇
福井市,25,26.7,28.4,24.7,大雨時々曇一時晴、雷を伴う,曇時々雨一時晴
福井市,26,25.6,31.6,20.5,薄曇時々晴,薄曇後一時晴
福井市,27,25.4,31.4,20.2,晴後一時薄曇,薄曇時々晴
福井市,28,27.5,32.4,22.3,曇時々晴,薄曇後一時晴
福井市,29,28.2,33.3,23.9,晴後曇,曇時々雨
福井市,30,24.9,30.3,21.3,曇後晴,晴後一時曇
福井市,31,23.8,29.5,20.0,曇後晴,快晴
