location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,26.7,32.5,21.4,晴後一時薄曇,曇
福井市,2,29.4,35.3,25.0,曇一時晴,曇
福井市,3,26.5,29.3,23.9,雨後曇,曇一時晴後雨
福井市,4,24.5,27.9,21.9,曇後時々雨,曇一時雨
福井市,5,27.7,33.4,22.6,曇一時晴,曇一時雨後一時晴、雷を伴う
福井市,6,28.9,33.6,25.3,晴一時曇,曇後時々雨
福井市,7,26.9,31.6,24.1,曇時々晴,曇一時晴
福井市,8,25.6,29.6,23.0,曇時々雨,雨一時曇
福井市,9,23.9,26.2,22.3,雨時々曇,曇時々晴
福井市,10,25.6,31.6,21.1,薄曇後一時晴,薄曇一時晴
福井市,11,25.8,31.5,21.0,薄曇,晴時々薄曇
福井市,12,25.9,29.8,21.7,曇一時雨,曇後時々雨、雷を伴う
福井市,13,26.9,31.8,24.3,曇一時雨、雷を伴う,曇一時雨、雷を伴う
福井市,14,25.9,30.9,22.4,曇後時々晴,雨時々曇
福井市,15,22.1,24.7,20.4,雨後時々曇,曇一時雨
福井市,16,26.1,31.2,21.3,曇,曇後一時雨
福井市,17,25.3,27.1,24.0,曇時々雨,曇
福井市,18,25.4,29.8,22.4,晴一時曇,晴後時々曇
福井市,19,25.3,30.9,21.0,晴,晴一時曇
福井市,20,25.0,29.5,21.7,晴時々曇,曇一時晴
福井市,21,24.7,29.4,21.7,曇一時晴,薄曇後一時晴
福井市,22,25.0,29.6,21.1,晴一時曇,晴一時曇
福井市,23,26.6,32.7,21.1,薄曇,曇時々晴
福井市,24,27.7,32.6,23.1,薄曇一時晴,曇一時晴
福井市,25,27.0,30.5,24.3,曇一時雨,曇時々雨
福井市,26,23.2,26.3,21.6,雨,曇一時雨
福井市,27,27.8,33.5,22.7,曇時々晴,曇
福井市,28,29.7,34.4,25.4,晴一時薄曇,晴後一時薄曇
福井市,29,29.6,34.7,24.7,晴,晴一時薄曇
福井市,30,29.2,35.5,24.7,晴,晴
福井市,31,28.8,33.9,24.8,晴,晴後時々曇
