location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,18.6,21.9,16.1,晴時々曇,晴時々曇
福井市,2,17.5,21.9,13.7,晴,快晴
福井市,3,19.3,26.5,11.4,快晴,晴
福井市,4,21.6,26.6,16.0,曇,雨一時曇
福井市,5,20.0,25.8,16.9,曇一時雨後時々晴,晴後曇
福井市,6,21.6,25.8,16.5,薄曇,曇
福井市,7,22.7,26.2,19.4,曇後時々雨,曇後晴
福井市,8,24.5,30.2,17.9,晴時々薄曇,曇一時晴
福井市,9,21.8,24.0,19.5,雨時々曇,曇時々晴
福井市,10,21.9,26.2,18.2,晴一時曇,晴後一時薄曇
福井市,11,25.7,32.1,18.6,薄曇,曇後一時晴
福井市,12,24.6,29.6,20.2,曇,雨
福井市,13,21.2,23.1,20.1,曇時々雨,曇
福井市,14,23.1,28.0,20.1,曇後晴,晴
福井市,15,25.4,30.8,19.3,晴後曇,曇
福井市,16,23.7,27.1,20.5,曇後雨,雨後一時曇
福井市,17,22.5,26.6,19.6,曇時々雨後一時晴,晴一時曇
福井市,18,23.5,29.4,18.5,晴時々薄曇,薄曇
福井市,19,22.0,26.5,19.7,曇時々雨,曇一時雨
福井市,20,24.6,29.5,20.4,曇一時晴,曇後一時雨
福井市,21,24.8,30.0,21.4,晴一時曇,曇
福井市,22,24.8,29.1,22.5,曇,大雨
福井市,23,22.3,24.7,19.1,曇時々雨,薄曇一時晴
福井市,24,21.8,24.1,18.2,曇後雨,大雨後一時曇
福井市,25,22.3,27.3,19.2,曇後時々雨,曇時々雨
福井市,26,21.0,26.7,18.5,雨後晴一時曇,晴
福井市,27,23.1,29.7,17.1,晴後曇,雨時々曇
福井市,28,20.2,23.3,17.7,曇時々雨,曇
福井市,29,23.0,28.3,19.4,曇後雨,曇時々雨
福井市,30,24.3,27.2,22.5,曇一時雨,曇後時々晴
