location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,6.2,11.8,3.0,晴時々曇一時雨,晴後曇
福井市,2,7.5,13.0,2.4,晴時々曇後一時雨,曇時々雨一時晴、あられを伴う
福井市,3,6.9,10.1,3.3,曇時々雨一時晴,晴後曇時々雨
福井市,4,6.3,10.3,3.2,曇時々雨、あられを伴う,曇
福井市,5,5.6,8.6,3.8,曇時々雨一時晴,曇一時雨
福井市,6,4.5,8.3,0.1,薄曇後晴,快晴
福井市,7,3.3,10.0,-1.8,晴後薄曇,薄曇一時晴
福井市,8,3.8,6.9,0.4,曇後一時雨,雨後曇
福井市,9,6.5,10.6,3.9,曇後時々雨,雨後時々曇
福井市,10,6.7,10.4,3.1,曇時々雨一時晴,雨時々曇後一時みぞれ
福井市,11,3.3,6.3,0.8,みぞれ時々雪、あられを伴う,みぞれ時々雨、雷・あられを伴う
福井市,12,2.9,5.3,0.9,みぞれ時々雨、雷・あられを伴う,雨後時々曇、雷・あられを伴う
福井市,13,2.4,5.5,0.3,雪時々曇、みぞれを伴う,雪後時々曇、雷を伴う
福井市,14,0.5,3.0,-2.5,雪一時曇、あられを伴う,雪時々曇、あられを伴う
福井市,15,1.2,3.3,-2.4,曇時々雪、あられを伴う,雪時々曇一時晴、雷・あられを伴う
福井市,16,2.4,5.7,0.5,雪時々晴一時雨、雷・あられを伴う,雪時々曇、あられを伴う
福井市,17,2.9,7.6,0.9,みぞれ後曇一時晴、あられを伴う,曇後一時晴
福井市,18,3.2,8.7,-1.7,晴後曇,雨時々曇
福井市,19,3.5,7.9,-1.1,晴時々曇一時雨,晴後一時薄曇
福井市,20,2.7,8.9,-2.5,曇後時々雨、雷・あられを伴う,雨時々曇、雷・あられを伴う
福井市,21,3.6,7.0,1.1,曇時々雨、雷・あられを伴う,晴時々曇
福井市,22,2.9,5.6,0.4,雨時々みぞれ、雷・あられを伴う,雪時々みぞれ、あられを伴う
福井市,23,0.5,2.2,-0.8,雪時々曇,曇時々雪、あられを伴う
福井市,24,-0.2,2.4,-2.4,雪時々曇一時晴,雪時々曇
福井市,25,0.3,4.5,-1.4,曇時々雪後一時晴,曇時々霧一時晴
福井市,26,1.5,6.6,-1.9,晴時々曇,晴後薄曇
福井市,27,4.6,10.2,0.2,曇後雨,霧一時曇
福井市,28,3.7,10.3,0.1,霧後晴一時薄曇,晴後薄曇
福井市,29,5.6,12.4,-0.3,晴後曇時々雨,雨後曇
福井市,30,6.8,9.7,3.7,雨,曇一時雨後時々雪、あられを伴う
福井市,31,2.3,5.4,-0.5,曇一時雪後時々晴,曇時々晴
