location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,21.3,27.9,16.7,晴時々曇,雨時々曇一時晴、雷を伴う
福井市,2,17.6,20.8,15.2,曇時々晴一時雨,曇時々雨
福井市,3,16.5,20.3,12.7,曇後時々晴,晴
福井市,4,16.7,22.3,11.4,晴,快晴
福井市,5,17.6,23.0,11.5,晴,快晴
福井市,6,20.2,26.1,13.0,薄曇時々晴,曇後一時雨
福井市,7,20.8,22.1,19.1,雨時々曇,曇時々雨
福井市,8,19.7,21.7,15.8,曇時々雨,晴後一時曇、霧を伴う
福井市,9,21.1,28.1,15.5,薄曇一時晴,晴後時々曇
福井市,10,18.3,26.2,14.0,曇時々晴後雨,曇後一時晴、霧を伴う
福井市,11,18.0,23.1,12.5,晴一時薄曇,晴後一時曇
福井市,12,17.2,21.6,12.9,曇時々晴,曇後一時晴
福井市,13,17.5,22.8,13.1,曇時々晴,晴一時曇
福井市,14,17.9,23.4,12.4,晴,快晴
福井市,15,21.6,29.0,11.9,晴,晴後曇
福井市,16,19.9,23.7,16.9,晴時々曇,曇時々晴
福井市,17,20.6,25.0,16.5,晴時々曇,薄曇
福井市,18,21.9,27.5,18.2,薄曇,晴時々薄曇
福井市,19,22.2,28.5,16.7,快晴,晴一時薄曇
福井市,20,25.1,32.2,16.3,薄曇一時晴,曇後雨
福井市,21,21.6,26.7,19.4,雨時々曇,曇一時雨
福井市,22,21.9,27.0,18.7,薄曇,薄曇後晴
福井市,23,22.9,29.6,17.9,晴,薄曇一時晴
福井市,24,24.7,31.7,19.3,薄曇一時晴,曇後雨
福井市,25,21.3,24.5,19.6,曇時々雨,曇後晴
福井市,26,21.4,26.3,17.1,薄曇,曇
福井市,27,22.5,28.3,19.0,曇,薄曇
福井市,28,24.1,29.6,21.3,曇時々雨後晴,薄曇一時晴
福井市,29,24.8,30.5,21.6,曇後時々雨,曇後雨
福井市,30,24.8,28.2,22.0,曇時々雨,曇後時々雨
