location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,11.5,15.1,9.6,曇時々雨一時晴,曇後晴
福井市,2,10.3,17.3,4.6,快晴,晴後雨
福井市,3,10.8,14.2,8.6,雨時々曇一時晴、雷を伴う,曇時々雨一時晴
福井市,4,11.2,17.5,7.3,晴一時霧,快晴
福井市,5,12.4,19.8,6.3,快晴,晴後曇時々雨
福井市,6,12.0,15.9,6.9,晴一時曇,快晴
福井市,7,9.8,15.9,4.5,晴,晴時々曇
福井市,8,12.0,18.8,8.5,曇後雨,雨
福井市,9,7.3,8.9,5.7,雨時々曇,曇時々雨
福井市,10,8.2,11.7,5.4,曇後一時晴,曇後雨
福井市,11,12.1,18.3,7.3,晴時々曇一時雨,曇一時雨後霧
福井市,12,12.0,18.3,8.2,晴一時霧,晴後時々曇
福井市,13,13.4,22.3,7.7,晴後時々薄曇,薄曇
福井市,14,14.4,20.7,9.7,曇後時々雨,雨一時曇
福井市,15,14.3,18.6,10.0,曇時々雨一時晴,曇後時々晴
福井市,16,10.0,13.5,7.2,晴時々曇,曇後時々晴
福井市,17,8.1,12.6,5.0,雨時々晴一時曇,晴後霧
福井市,18,11.2,20.7,2.3,晴後時々薄曇、霧を伴う,曇後雨
福井市,19,14.6,16.6,12.0,雨,曇一時雨
福井市,20,15.9,19.7,13.2,曇一時雨,曇
福井市,21,13.9,17.3,11.6,薄曇,曇後時々雨
福井市,22,15.2,19.3,9.9,晴時々曇,雨後曇
福井市,23,7.7,10.5,5.1,晴一時曇,曇
福井市,24,7.1,12.6,3.3,晴時々曇,晴後曇一時雨
福井市,25,6.8,10.7,2.9,雨後時々曇,雨時々曇一時晴
福井市,26,10.9,16.2,6.9,曇時々晴一時雨,雨一時曇
福井市,27,10.9,11.7,10.0,雨,雨後時々曇
福井市,28,9.8,13.5,6.8,晴時々曇一時雨,雨後曇
福井市,29,8.0,12.5,5.8,曇時々雨一時晴,曇時々雨後一時晴
福井市,30,7.5,9.9,2.2,薄曇一時晴,雨時々曇
