location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,14.8,17.9,9.4,曇時々雨一時晴、雷を伴う,快晴
福井市,2,14.1,20.5,7.3,晴後一時薄曇,薄曇
福井市,3,18.2,25.8,10.7,薄曇,薄曇時々晴
福井市,4,19.9,26.3,12.5,晴,晴時々曇
福井市,5,21.0,26.5,15.5,曇時々晴,晴後一時雨
福井市,6,16.2,18.6,13.5,雨時々曇,曇
福井市,7,17.4,23.0,12.7,晴一時薄曇,快晴
福井市,8,17.8,25.0,11.3,晴後時々薄曇,薄曇
福井市,9,17.7,23.2,12.6,曇後一時雨,雨後時々曇
福井市,10,18.0,21.0,14.7,曇時々雨,曇時々雨
福井市,11,18.9,23.2,16.1,曇,曇
福井市,12,20.7,24.9,16.3,曇,雨一時曇
福井市,13,17.2,19.3,15.2,雨一時曇,晴時々曇、霧を伴う
福井市,14,18.4,25.8,13.7,曇後晴,曇一時晴
福井市,15,18.0,22.6,14.6,薄曇,晴一時曇
福井市,16,16.3,21.1,11.9,薄曇一時晴,薄曇
福井市,17,16.1,21.4,10.7,晴時々曇,晴一時曇
福井市,18,16.6,22.6,11.6,快晴,快晴
福井市,19,19.9,28.4,10.6,快晴,快晴
福井市,20,21.9,30.8,13.9,快晴,晴
福井市,21,22.2,30.5,15.0,薄曇,薄曇
福井市,22,23.0,28.6,17.6,晴一時薄曇,薄曇後晴
福井市,23,22.6,29.6,17.0,晴後薄曇,薄曇
福井市,24,20.9,23.6,18.8,雨時々曇,雨
福井市,25,20.7,26.1,17.7,曇時々雨後一時晴,薄曇
福井市,26,18.9,25.4,15.6,曇時々晴後時々雨,曇時々雨一時晴
福井市,27,17.0,21.1,14.7,曇一時雨後一時晴,曇後晴
福井市,28,18.2,22.8,14.0,晴,快晴
福井市,29,21.2,28.9,12.7,快晴,快晴
福井市,30,24.1,32.4,16.9,薄曇一時晴,薄曇
福井市,31,24.1,30.6,19.2,薄曇,曇後雨、雷を伴う
