location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,12.1,21.6,5.8,晴,晴
福井市,2,13.6,21.7,7.6,薄曇時々晴,晴
福井市,3,15.1,21.8,9.3,晴,曇後雨
福井市,4,12.5,15.3,9.4,雨後時々曇,曇時々雨
福井市,5,10.8,16.2,7.0,晴一時霧,快晴
福井市,6,12.9,21.6,5.9,快晴,快晴
福井市,7,15.3,23.7,8.1,晴後一時薄曇,曇
福井市,8,16.5,19.9,13.9,雨後曇時々晴,曇時々雨一時晴
福井市,9,12.8,16.6,7.5,晴時々曇一時雨,晴
福井市,10,13.0,21.5,5.1,晴,晴一時曇後雨、雷を伴う
福井市,11,12.7,18.0,9.5,曇時々雨、あられを伴う,曇時々晴一時雨
福井市,12,10.1,15.2,6.0,晴時々曇,晴
福井市,13,11.3,19.8,3.9,晴後時々薄曇,晴後曇一時雨
福井市,14,11.9,13.7,10.3,雨後時々曇一時晴,霧一時晴後時々霧雨
福井市,15,10.3,13.4,7.9,雨時々曇、霧を伴う,雨後時々曇、雷・あられを伴う
福井市,16,7.1,8.3,5.7,雨時々曇、雷・あられを伴う,曇時々雨
福井市,17,8.4,12.9,5.2,晴時々曇一時雨,曇後時々雨
福井市,18,8.6,11.3,5.2,雨,雨後時々曇、あられを伴う
福井市,19,5.3,8.7,3.7,雨時々曇、あられを伴う,雨時々曇、あられを伴う
福井市,20,5.6,8.4,3.6,雨、雷を伴う,雨時々曇、雷・あられを伴う
福井市,21,5.8,11.4,2.3,晴一時曇,快晴
福井市,22,8.1,14.3,1.2,曇後時々雨,雨後時々曇
福井市,23,9.0,12.5,4.8,雨時々晴一時曇、あられを伴う,雨時々曇、雷・あられを伴う
福井市,24,4.7,6.3,3.4,大雨一時みぞれ、雷・あられを伴う,雨時々曇、雷・あられを伴う
福井市,25,5.7,9.9,3.3,雨時々曇後一時晴,晴
福井市,26,7.2,10.6,2.7,曇時々雨,曇時々雨後晴
福井市,27,7.8,13.5,3.9,晴一時霧,快晴
福井市,28,9.6,18.5,2.5,快晴,晴後曇
福井市,29,10.8,14.3,8.1,雨後曇,曇
福井市,30,9.7,11.2,8.6,曇後時々雨,曇時々雨
