location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,2.5,7.1,-1.3,曇時々晴後雨、あられを伴う,雪時々雨一時曇
福井市,2,1.9,4.5,-0.9,曇時々雪後時々雨、あられを伴う,雨時々曇一時みぞれ、あられを伴う
福井市,3,4.7,9.9,1.2,晴一時雨,曇一時晴
福井市,4,5.4,12.2,1.1,晴一時曇,晴後曇
福井市,5,5.6,9.0,2.4,雨時々曇,雨一時曇、雷を伴う
福井市,6,5.6,8.2,0.9,雨時々曇、あられを伴う,雪一時雨、雷・あられを伴う
福井市,7,2.1,3.9,0.9,雪時々曇、あられを伴う,曇時々雪
福井市,8,2.5,5.6,0.6,曇後一時雨,曇一時晴
福井市,9,2.8,5.3,0.5,みぞれ後時々雨、あられを伴う,雨後雪時々曇、あられを伴う
福井市,10,0.8,3.3,-0.9,雪時々曇,雪、雷・あられを伴う
福井市,11,0.2,2.9,-1.0,雪後時々曇、あられを伴う,曇時々雪、雷・あられを伴う
福井市,12,0.6,2.9,-1.1,雪時々曇、あられを伴う,曇時々雪一時晴
福井市,13,0.9,4.2,-1.0,曇時々雪一時雨,霧時々晴後時々雪
福井市,14,0.6,3.7,-1.5,曇時々雪一時雨,曇時々雪
福井市,15,2.5,7.1,0.1,曇時々晴一時雪,晴後時々曇
福井市,16,5.6,14.0,-0.4,晴,薄曇一時晴
福井市,17,6.3,9.9,3.0,雨,曇一時雨後時々晴
福井市,18,4.2,10.4,0.9,曇一時晴後一時雨,曇時々雪一時雨
福井市,19,3.5,7.6,-0.2,晴時々曇,曇後時々雨
福井市,20,7.5,13.4,4.0,雨一時曇,雨時々曇後雪、あられを伴う
福井市,21,2.5,4.9,-0.1,曇時々雪、あられを伴う,曇後晴
福井市,22,5.2,11.6,-1.6,曇一時晴,雨
福井市,23,8.8,12.3,4.7,雨一時曇,雨後曇
福井市,24,4.1,7.6,1.1,曇時々晴,曇後雪
福井市,25,3.8,8.7,0.3,晴一時雪後曇時々雨,雨一時曇、あられを伴う
福井市,26,4.4,9.3,2.1,曇後時々雨,晴一時曇
福井市,27,3.9,8.7,0.5,晴後一時曇,快晴
福井市,28,3.5,9.9,-1.9,晴後一時曇,晴一時曇
