location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,8.0,9.4,6.2,雨時々曇,雨時々曇、あられを伴う
福井市,2,6.9,11.3,4.4,晴一時雨後時々曇,晴後曇
福井市,3,7.9,14.3,3.3,晴後時々薄曇,曇後時々晴
福井市,4,8.4,13.7,5.2,曇後時々雨、雷を伴う,雨一時曇、雷・あられを伴う
福井市,5,5.1,9.6,1.7,雨一時曇、雷・あられを伴う,雨一時曇、雷・あられを伴う
福井市,6,3.8,6.2,1.6,雨時々曇、あられを伴う,雨時々曇
福井市,7,6.2,11.0,2.7,晴時々曇一時雨、雷を伴う,雨一時曇
福井市,8,4.3,6.2,2.8,雨,晴時々曇一時みぞれ
福井市,9,3.0,5.3,0.0,晴時々曇後雨、みぞれを伴う,雨後曇一時晴
福井市,10,6.8,11.0,2.6,晴後薄曇,雨時々曇一時晴
福井市,11,5.8,9.9,0.6,雨時々曇一時みぞれ、あられを伴う,みぞれ後雪、雷・あられを伴う
福井市,12,1.6,4.4,0.4,みぞれ時々雪一時曇、あられを伴う,雪一時みぞれ、あられを伴う
福井市,13,1.2,3.2,0.3,雪後時々曇、あられを伴う,曇時々雪一時みぞれ、あられを伴う
福井市,14,2.0,4.3,0.6,雪後雨時々曇、あられを伴う,曇後時々晴
福井市,15,3.0,7.9,0.1,曇一時霧後晴,晴一時曇後雨時々みぞれ
福井市,16,4.4,6.7,2.1,雨時々曇、雷を伴う,雨後雪、雷・あられを伴う
福井市,17,1.2,4.1,0.3,雪一時みぞれ,雪
福井市,18,1.6,3.0,0.3,雪後みぞれ時々曇、あられを伴う,雨後時々曇一時晴
福井市,19,3.0,5.7,1.3,雨時々曇、雷・あられを伴う,雨後晴一時霧、あられを伴う
福井市,20,2.4,4.2,0.2,曇一時霧後雨,雨一時曇
福井市,21,3.9,7.3,1.9,曇時々晴一時雨,曇時々晴
福井市,22,5.5,11.3,2.1,曇後晴,晴後曇時々雨
福井市,23,6.3,11.8,3.4,晴一時雨,晴後曇
福井市,24,8.4,14.4,2.6,曇後時々雨,大雨後時々曇
福井市,25,7.3,11.1,3.9,雨一時曇,雨時々曇後一時あられ
福井市,26,4.0,6.6,1.9,雨、あられを伴う,みぞれ後曇時々雪、あられを伴う
福井市,27,2.7,4.9,1.1,雪時々曇一時みぞれ、あられを伴う,曇時々みぞれ、あられを伴う
福井市,28,3.9,6.5,1.9,晴時々みぞれ一時曇、あられを伴う,曇
福井市,29,3.1,5.3,1.0,曇時々雨、あられを伴う,曇時々雨、あられを伴う
福井市,30,4.4,8.5,1.3,曇時々晴,曇一時晴
福井市,31,5.2,10.9,0.9,曇後雨,曇時々雨、あられを伴う
