location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,11.5,17.3,8.1,曇時々晴一時雨,雨時々晴
福井市,2,11.9,18.7,8.3,晴,晴後曇
福井市,3,13.0,19.8,8.8,晴,晴後時々曇
福井市,4,12.7,15.7,9.1,曇時々雨,晴時々曇後霧
福井市,5,14.9,20.6,10.6,晴時々曇、霧を伴う,曇一時晴後時々雨
福井市,6,15.8,19.7,12.6,曇時々雨後一時晴,晴
福井市,7,15.2,20.7,10.7,晴一時薄曇,晴一時曇後霧
福井市,8,16.5,23.3,10.7,晴一時霧,薄曇後一時雨
福井市,9,19.6,24.6,15.7,雨時々晴一時曇,雨時々曇
福井市,10,15.7,20.2,10.7,晴時々曇一時雨,晴
福井市,11,13.0,19.4,8.2,晴一時薄曇,薄曇時々晴
福井市,12,14.0,19.4,10.8,曇後雨,雨後曇時々晴
福井市,13,13.7,17.5,10.4,薄曇時々晴,雨時々曇
福井市,14,12.5,17.5,7.9,晴一時曇,晴
福井市,15,10.7,17.4,5.1,晴,快晴
福井市,16,11.6,18.1,5.8,薄曇一時晴,曇後晴
福井市,17,11.0,16.3,7.8,雨時々曇後晴,晴一時薄曇後霧
福井市,18,11.0,17.0,6.2,曇一時晴、霧を伴う,雨時々曇
福井市,19,11.3,13.7,7.1,曇時々雨後一時晴,晴一時雨
福井市,20,9.3,15.4,4.7,晴,晴
福井市,21,10.3,17.0,4.5,晴時々薄曇,曇
福井市,22,9.7,11.7,7.3,雨時々曇,雨、あられを伴う
福井市,23,7.1,9.7,5.3,雨時々曇,晴時々曇
福井市,24,7.8,13.1,4.1,晴時々曇,曇後晴
福井市,25,10.6,17.1,4.5,晴後薄曇,雨時々曇
福井市,26,11.5,15.3,8.8,薄曇一時晴、霧を伴う,薄曇後晴
福井市,27,12.2,19.0,6.6,快晴,晴時々曇
福井市,28,12.3,16.8,8.4,曇時々雨,曇時々雨後晴
福井市,29,10.8,15.8,7.5,晴後薄曇一時雨,晴後曇一時雨
福井市,30,9.8,14.9,6.8,曇時々雨一時晴,雨時々曇一時晴
