location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,1.0,3.4,-1.1,曇時々雪,雪時々曇一時晴
福井市,2,2.8,7.7,-0.4,曇時々晴一時雨,晴
福井市,3,5.3,11.9,0.5,曇時々晴一時雨,晴
福井市,4,8.7,17.7,1.0,晴一時薄曇,晴後雨一時曇
福井市,5,13.4,19.5,7.3,晴時々曇一時雨,晴
福井市,6,17.3,21.1,14.2,薄曇後一時雨,雨時々曇
福井市,7,13.0,17.3,9.8,曇一時雨後時々晴,晴後霧
福井市,8,11.6,16.2,9.5,曇後一時雨、霧を伴う,曇時々雨
福井市,9,6.2,10.3,3.9,雨,曇一時雨
福井市,10,5.3,8.5,3.1,曇,曇時々晴
福井市,11,5.0,9.8,1.0,晴一時曇,曇時々雨後晴、あられを伴う
福井市,12,4.5,10.3,0.2,晴一時霧,晴後時々薄曇
福井市,13,5.5,11.4,-0.2,曇,雨一時曇
福井市,14,6.0,8.5,4.1,曇一時雨,曇時々雨一時晴
福井市,15,6.2,10.3,1.7,晴時々曇,快晴
福井市,16,7.4,16.8,-0.5,薄曇一時晴,薄曇後晴
福井市,17,10.8,19.6,2.9,晴,晴一時薄曇
福井市,18,12.8,19.2,5.8,曇後雨,大雨
福井市,19,12.1,14.5,9.2,雨一時曇,曇
福井市,20,9.3,12.5,7.0,曇一時雨,曇一時雨
福井市,21,7.3,11.8,2.7,曇後晴,快晴
福井市,22,8.6,16.9,0.3,快晴,晴後曇
福井市,23,8.7,14.1,5.6,曇,曇後時々晴
福井市,24,6.6,11.1,3.4,曇時々晴一時雨,曇一時雨、あられを伴う
福井市,25,5.2,9.0,2.6,曇時々雨後晴、あられを伴う,曇時々晴一時雨
福井市,26,6.0,11.9,1.1,晴後一時曇,晴一時曇
福井市,27,8.1,16.0,0.5,晴,曇後時々晴
福井市,28,9.4,14.9,5.2,晴時々曇,快晴
福井市,29,11.1,18.6,2.8,晴時々薄曇,曇時々晴
福井市,30,12.9,19.0,8.6,曇後一時雨,曇一時雨後晴
福井市,31,13.2,21.2,6.3,薄曇一時晴,薄曇後晴
