location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,20.9,26.5,17.4,曇一時晴,曇
福井市,2,24.2,29.2,20.8,晴一時曇,薄曇一時晴
福井市,3,24.6,28.4,21.9,雨時々曇,曇一時晴
福井市,4,22.7,27.7,20.1,薄曇,薄曇
福井市,5,24.1,29.9,18.8,曇後時々雨,雨時々曇、大風を伴う
福井市,6,21.3,25.3,18.5,曇一時雨後晴,晴
福井市,7,20.0,25.8,14.2,晴後一時薄曇,曇一時雨
福井市,8,24.6,27.6,20.3,曇時々雨,大雨一時曇
福井市,9,18.7,22.8,15.9,曇時々雨後一時晴,晴時々曇
福井市,10,16.9,20.8,13.4,晴後時々曇,曇後晴
福井市,11,15.8,20.6,12.0,曇一時晴,晴時々曇
福井市,12,15.5,21.1,11.7,晴時々曇一時雨,晴後一時曇
福井市,13,14.5,19.6,10.8,薄曇,薄曇後一時晴
福井市,14,14.7,21.6,10.1,薄曇後晴,快晴
福井市,15,15.8,23.3,9.6,快晴,晴
福井市,16,19.2,26.2,10.8,晴後曇,大雨一時曇
福井市,17,20.7,27.3,16.5,曇一時雨後時々晴,晴後曇一時雨
福井市,18,21.1,26.0,18.7,曇時々晴一時雨,曇時々晴
福井市,19,21.1,27.0,17.8,曇時々晴,曇
福井市,20,19.7,24.6,15.6,晴,薄曇時々晴
福井市,21,15.5,19.6,12.5,薄曇,薄曇後晴
福井市,22,15.4,20.1,10.3,曇,曇後一時晴
福井市,23,16.2,21.0,12.9,曇後一時晴,晴一時曇
福井市,24,13.7,18.8,8.9,晴,快晴
福井市,25,15.1,20.9,7.6,曇時々雨一時晴,曇時々雨
福井市,26,19.4,25.8,16.9,晴時々曇一時雨,曇時々雨後晴
福井市,27,15.4,19.8,9.9,晴,晴後曇
福井市,28,12.8,14.8,9.8,雨一時曇,雨
福井市,29,14.0,16.8,9.2,曇時々晴一時雨,晴一時曇
福井市,30,11.0,17.2,6.8,晴一時薄曇,晴一時薄曇
福井市,31,11.9,17.7,6.6,曇,曇後時々雨
