location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,30.8,36.0,26.0,晴,晴
福井市,2,30.1,36.4,25.9,晴後薄曇,晴時々曇
福井市,3,29.2,34.4,25.5,晴,晴
福井市,4,29.0,35.6,24.0,晴,晴
福井市,5,30.1,37.4,24.1,晴,晴一時曇
福井市,6,28.8,33.8,25.4,晴時々曇一時雨,晴一時曇
福井市,7,27.1,31.8,23.9,晴後時々曇,曇一時晴
福井市,8,26.3,30.9,24.0,曇時々雨,曇時々雨
福井市,9,27.1,30.3,24.5,曇時々雨,曇時々雨
福井市,10,27.2,30.0,25.4,曇時々雨,晴後時々曇
福井市,11,28.1,32.9,24.8,晴一時曇,晴
福井市,12,29.4,35.6,24.7,晴一時曇、雷を伴う,曇一時晴
福井市,13,30.4,34.8,27.1,曇時々晴,晴一時曇
福井市,14,30.5,37.6,26.6,薄曇、雷を伴う,晴一時薄曇、雷を伴う
福井市,15,30.5,34.6,26.6,曇後時々雨,曇一時雨
福井市,16,26.9,31.3,22.9,曇時々雨、雷を伴う,晴時々曇一時雨
福井市,17,23.7,28.3,18.6,晴後時々薄曇,晴時々薄曇
福井市,18,22.8,29.3,16.0,晴時々薄曇,薄曇後晴
福井市,19,25.5,31.5,19.7,薄曇一時晴,薄曇時々晴
福井市,20,26.8,33.4,19.6,曇時々晴,晴
福井市,21,31.0,35.9,26.2,晴,曇時々晴
福井市,22,32.4,36.7,29.1,晴後時々薄曇,晴一時薄曇
福井市,23,31.5,36.3,27.5,曇時々晴,暴風雨時々曇
福井市,24,31.4,35.5,26.4,曇後時々晴,晴後一時曇
福井市,25,31.6,35.7,28.6,曇後晴,晴一時曇
福井市,26,29.7,35.2,25.7,晴,曇時々晴
福井市,27,28.9,34.3,25.1,晴時々曇,曇時々晴一時雨
福井市,28,26.0,28.2,24.9,曇時々雨,曇時々雨後一時晴
福井市,29,27.9,33.4,24.2,晴一時曇,晴
福井市,30,28.5,34.0,23.8,薄曇一時晴,曇時々雨、雷を伴う
福井市,31,26.6,31.1,23.5,曇時々雨,雨時々曇、雷を伴う
