location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,4.8,10.2,2.2,晴一時雨,晴後時々曇
福井市,2,7.7,13.7,3.2,曇後一時雨,晴時々曇一時雨
福井市,3,9.0,14.8,4.5,晴時々曇,晴時々曇
福井市,4,9.4,15.5,4.4,曇時々晴後一時雨,曇後一時晴
福井市,5,7.9,11.8,5.1,曇時々雨,雨後曇
福井市,6,7.6,10.3,5.9,曇一時雨,雨時々曇
福井市,7,6.2,10.0,3.7,雨時々曇、あられを伴う,雨時々曇一時晴
福井市,8,4.7,5.7,3.6,雨一時曇,雨、雷・あられを伴う
福井市,9,4.5,7.3,2.4,曇時々雨一時晴,雨時々曇、あられを伴う
福井市,10,4.9,6.4,3.6,雨時々曇,雨一時曇
福井市,11,5.1,7.8,3.4,曇時々雨,曇一時雨
福井市,12,3.6,6.9,1.8,晴後曇一時雨,曇一時雨
福井市,13,3.7,8.5,1.2,曇時々雨一時雪,雨時々曇一時みぞれ、雷を伴う
福井市,14,2.9,4.5,1.6,雨時々みぞれ、雷・あられを伴う,雨時々みぞれ一時雪、あられを伴う
福井市,15,2.9,6.2,1.2,雨時々曇一時晴、あられを伴う,雨一時みぞれ、あられを伴う
福井市,16,3.2,8.3,0.7,曇時々雨,曇時々晴後一時霧
福井市,17,3.3,6.9,0.3,曇一時霧,雨時々曇
福井市,18,6.1,8.1,4.0,雨一時曇,雨後雪、雷・あられを伴う
福井市,19,0.5,5.1,-1.4,雪、雷を伴う,雪時々曇一時みぞれ、雷を伴う
福井市,20,3.4,6.4,-0.2,曇時々みぞれ、あられを伴う,雨後雪、あられを伴う
福井市,21,1.9,5.1,0.1,曇時々雪一時晴,曇後時々晴一時霧
福井市,22,0.5,3.0,-2.6,雪時々曇後一時みぞれ,曇一時雪
福井市,23,2.0,6.5,-1.4,曇一時晴後雨,みぞれ後曇時々雪、あられを伴う
福井市,24,-1.2,3.3,-5.2,雪一時曇,大雪一時曇
福井市,25,-1.5,1.3,-5.2,雪時々曇一時晴,雪後時々曇一時晴
福井市,26,1.8,5.4,-2.8,晴後一時曇,曇後みぞれ
福井市,27,3.6,7.4,1.5,雨時々曇一時みぞれ,曇一時雨
福井市,28,4.3,8.9,1.1,曇時々晴一時雨,雨一時曇
福井市,29,3.6,4.7,2.6,雨、霧を伴う,雨一時曇
福井市,30,4.9,8.5,2.8,曇後一時晴,曇時々晴一時雨
福井市,31,5.3,10.9,0.9,晴後一時雨,雨時々曇
