location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,8.6,13.5,4.0,曇後晴,快晴
福井市,2,6.9,13.9,0.7,快晴,快晴
福井市,3,9.1,15.0,1.7,晴時々曇,晴時々曇
福井市,4,11.1,18.3,5.8,晴時々薄曇,薄曇時々晴
福井市,5,15.0,22.4,6.2,薄曇一時晴,晴時々薄曇
福井市,6,16.3,21.0,11.3,薄曇後雨,雨
福井市,7,16.4,21.6,14.0,曇時々雨,曇一時晴
福井市,8,17.8,24.1,14.4,曇,雨時々曇
福井市,9,12.1,15.5,8.4,曇一時雨,薄曇時々晴
福井市,10,11.4,17.8,4.4,薄曇,薄曇一時雨
福井市,11,11.7,14.5,10.5,雨,雨後時々曇
福井市,12,10.8,15.4,4.5,曇一時雨後晴,晴
福井市,13,9.6,16.9,2.7,晴時々曇,晴後一時曇
福井市,14,15.2,23.0,5.8,晴時々薄曇,曇一時晴
福井市,15,16.4,20.7,12.8,曇時々雨後一時晴,晴
福井市,16,17.9,26.1,10.7,薄曇時々晴,薄曇時々晴
福井市,17,17.9,26.4,12.8,薄曇後雨,大雨一時曇
福井市,18,14.3,18.1,10.9,曇時々雨一時晴,晴後曇一時雨、雷を伴う
福井市,19,12.1,16.1,8.0,曇時々雨一時晴,晴後時々曇、霧を伴う
福井市,20,11.9,17.3,6.5,曇一時晴、霧を伴う,曇
福井市,21,14.7,21.0,10.8,曇,薄曇一時晴
福井市,22,12.3,15.5,9.4,晴時々曇,快晴
福井市,23,11.1,16.9,5.1,快晴,快晴
福井市,24,16.0,23.4,6.3,晴,晴
福井市,25,19.0,23.3,14.6,晴時々薄曇,曇時々雨
福井市,26,14.6,17.6,12.1,雨,雨後曇
福井市,27,13.0,17.1,8.9,薄曇,晴時々曇一時雨
福井市,28,14.1,20.7,7.7,晴,晴後曇
福井市,29,15.8,21.3,11.1,曇後時々晴,快晴
福井市,30,19.0,28.0,9.0,快晴,晴後時々曇一時雨
