location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,3.5,7.4,1.2,雨時々曇一時みぞれ、あられを伴う,みぞれ時々曇、雷・あられを伴う
福井市,2,3.0,7.8,0.6,曇時々みぞれ一時雨、あられを伴う,曇時々雨一時雪、雷・あられを伴う
福井市,3,2.5,5.1,0.5,曇一時雪、あられを伴う,雪時々曇、あられを伴う
福井市,4,1.6,4.3,0.3,曇時々雪一時晴、あられを伴う,曇一時みぞれ
福井市,5,2.6,5.7,0.9,曇後時々雨、あられを伴う,曇時々晴後一時雨、霧を伴う
福井市,6,2.8,5.2,0.6,曇時々雨後一時みぞれ,曇時々晴
福井市,7,3.4,7.8,0.4,曇一時晴,曇
福井市,8,7.3,12.0,1.8,雨時々曇,雨時々曇
福井市,9,5.9,11.1,2.0,雨時々曇一時みぞれ、あられを伴う,みぞれ時々曇一時雨、あられを伴う
福井市,10,1.3,3.9,0.3,雪一時みぞれ,雪
福井市,11,0.8,3.5,-1.1,曇時々雪一時晴、あられを伴う,曇時々雪、雷・あられを伴う
福井市,12,-1.3,-0.1,-4.2,大雪後一時曇、あられを伴う,雪時々曇一時晴、雷・あられを伴う
福井市,13,-0.2,1.1,-1.5,雪後時々曇、あられを伴う,雪後時々曇、あられを伴う
福井市,14,0.5,4.9,-2.9,曇後晴,晴
福井市,15,2.0,8.4,-4.5,曇時々晴,曇時々雨後一時晴
福井市,16,4.3,10.2,-0.2,晴後曇,曇後雨
福井市,17,4.3,7.2,2.1,雨時々曇、霧を伴う,曇一時雨、霧を伴う
福井市,18,4.7,8.5,2.6,曇一時雨、霧を伴う,霧時々曇
福井市,19,3.1,8.0,-0.1,晴後一時薄曇、霧を伴う,晴一時薄曇
福井市,20,3.3,8.0,-1.0,曇時々晴一時雨,曇後一時雨
福井市,21,3.6,7.2,0.9,曇時々雨,薄曇一時雨
福井市,22,0.9,2.5,-0.3,曇後雪,曇一時雪
福井市,23,2.8,7.9,-0.6,曇時々雨一時雪、雷・あられを伴う,雪、あられを伴う
福井市,24,-0.7,1.6,-3.4,雪時々曇、あられを伴う,雪時々曇、あられを伴う
福井市,25,-1.9,0.8,-3.3,曇時々雪,雪、あられを伴う
福井市,26,-1.3,0.1,-2.6,雪,雪一時曇
福井市,27,0.1,2.3,-1.6,雪後時々曇一時晴、あられを伴う,曇一時雪
福井市,28,0.8,4.1,-2.8,曇後一時雪、みぞれを伴う,曇時々雨一時みぞれ、あられを伴う
福井市,29,1.0,2.5,-0.8,みぞれ時々雪一時曇、あられを伴う,雪一時曇、あられを伴う
福井市,30,0.1,1.7,-1.3,雪一時曇、あられを伴う,雪
福井市,31,1.4,4.7,-0.1,雪時々曇,曇時々みぞれ
