location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,25.6,32.5,20.9,晴後薄曇,晴一時薄曇
福井市,2,25.9,32.5,19.9,薄曇時々晴,薄曇後晴
福井市,3,27.2,33.3,21.7,晴時々曇,晴時々曇後一時雨
福井市,4,29.4,34.5,24.4,晴,晴後時々曇
福井市,5,27.4,31.5,24.9,曇時々雨,曇時々晴一時雨
福井市,6,26.6,30.3,24.5,曇後時々晴,曇
福井市,7,27.1,31.1,23.9,曇後時々晴,曇後一時雨
福井市,8,24.1,26.7,21.7,曇時々雨、雷を伴う,曇時々雨
福井市,9,22.9,27.3,19.7,曇時々晴一時雨,晴後時々曇
福井市,10,23.0,27.8,18.9,晴後曇,曇
福井市,11,24.6,29.2,21.2,曇後晴,晴後薄曇
福井市,12,24.7,28.9,21.4,曇,雨
福井市,13,23.5,26.1,21.9,曇時々雨,曇一時雨後時々晴
福井市,14,23.9,29.0,21.0,曇時々晴,曇
福井市,15,23.3,27.0,21.0,曇,曇
福井市,16,23.5,27.8,20.6,曇,曇
福井市,17,23.6,28.1,21.7,曇後時々雨,雨一時曇
福井市,18,22.5,25.0,21.5,雨一時曇,雨
福井市,19,21.2,23.5,19.7,雨時々曇,雨後時々曇
福井市,20,19.1,20.1,18.0,大雨一時曇、雷を伴う,曇時々雨
福井市,21,21.8,25.2,19.6,曇後一時雨,曇一時雨
福井市,22,21.9,25.0,20.6,曇後雨,雨後時々曇
福井市,23,21.0,23.8,18.5,曇一時雨,晴後一時霧
福井市,24,21.6,26.3,16.8,薄曇時々晴、霧を伴う,曇一時晴
福井市,25,25.2,31.2,20.7,曇一時晴,曇時々雨
福井市,26,23.7,26.3,22.1,雨時々曇,曇
福井市,27,26.7,33.2,21.5,晴後曇,曇後時々雨
福井市,28,24.3,25.9,23.1,雨時々曇,雨一時曇
福井市,29,21.2,23.3,18.5,雨後曇,薄曇後晴、霧を伴う
福井市,30,19.6,24.5,15.5,晴後曇、霧を伴う,雨
