location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,8.6,12.9,5.4,雨時々曇,曇時々雨後時々雪
福井市,2,4.4,7.5,0.1,曇一時雪後晴,晴後一時薄曇
福井市,3,6.4,15.7,-0.9,晴後薄曇,晴一時薄曇
福井市,4,10.6,19.4,2.5,晴,晴後曇一時雨
福井市,5,9.2,14.0,4.3,大雨,曇時々雨一時晴
福井市,6,4.9,9.2,1.8,晴一時曇,晴時々薄曇
福井市,7,4.3,9.1,-1.2,薄曇,曇
福井市,8,8.5,13.3,4.4,雨時々曇,大雨
福井市,9,6.0,11.3,3.3,雨,曇時々雨、みぞれを伴う
福井市,10,4.0,7.9,0.3,曇後晴,快晴
福井市,11,3.8,10.6,-1.3,曇時々晴一時雨,晴
福井市,12,5.1,12.0,-1.0,快晴,快晴
福井市,13,10.6,20.6,1.6,快晴,快晴
福井市,14,12.6,20.8,5.3,晴,晴
福井市,15,14.6,23.0,6.5,晴後一時曇,雨
福井市,16,6.7,13.1,2.4,雨時々曇,晴一時曇
福井市,17,4.6,9.4,0.8,快晴,晴
福井市,18,10.4,18.6,0.8,薄曇一時晴,曇後一時雨
福井市,19,10.1,12.3,8.0,雨,雨
福井市,20,6.8,9.2,4.9,雨後曇,曇後一時雨
福井市,21,5.3,6.5,3.9,雨,雨
福井市,22,7.3,9.7,5.6,雨,雨後一時曇
福井市,23,6.5,8.6,3.8,曇時々雨,晴後時々霧
福井市,24,8.8,15.8,2.5,晴後薄曇,晴一時曇
福井市,25,10.7,17.6,4.3,晴,快晴
福井市,26,12.2,22.0,4.8,晴,晴
福井市,27,13.1,23.6,5.6,晴,晴
福井市,28,14.9,23.8,7.1,快晴,快晴
福井市,29,13.4,22.0,8.0,曇時々晴,晴一時曇
福井市,30,9.9,14.5,4.8,快晴,快晴
福井市,31,11.4,19.8,1.9,快晴,快晴
