location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,23.5,29.1,16.8,晴後一時曇,曇後晴
福井市,2,24.1,28.4,19.3,晴,晴後一時曇
福井市,3,22.6,28.2,17.5,晴,晴後一時曇
福井市,4,21.3,27.8,16.7,曇一時晴,薄曇後時々晴
福井市,5,23.0,30.5,17.2,薄曇一時晴,雨
福井市,6,22.3,24.6,20.5,雨時々曇,曇時々雨
福井市,7,23.5,26.2,22.3,大雨,雨後曇
福井市,8,23.8,28.2,19.7,晴一時雨,晴
福井市,9,23.1,29.2,18.2,晴後薄曇,薄曇後一時晴
福井市,10,24.7,30.7,20.3,晴一時薄曇,薄曇
福井市,11,25.4,29.6,21.5,曇後一時雨,雨一時曇
福井市,12,23.6,26.3,21.5,雨後曇一時晴,曇一時晴後時々雨
福井市,13,24.2,29.1,20.2,晴一時曇,晴
福井市,14,22.1,27.0,18.2,晴,薄曇一時晴
福井市,15,20.2,26.2,15.8,薄曇,薄曇
福井市,16,18.3,19.7,16.4,曇後雨,曇一時雨
福井市,17,21.5,26.2,18.1,曇,大雨時々曇
福井市,18,22.2,26.0,18.4,雨時々曇後晴,晴
福井市,19,22.1,27.6,17.2,晴後薄曇,薄曇
福井市,20,21.7,28.2,18.8,曇後一時雨、雷を伴う,曇一時雨後晴
福井市,21,20.9,26.2,16.9,晴,晴
福井市,22,20.2,26.3,16.0,曇後一時雨,曇時々雨
福井市,23,21.6,26.5,19.0,曇,薄曇後一時晴
福井市,24,21.0,27.3,16.9,晴,快晴
福井市,25,21.2,27.6,16.2,晴後一時薄曇,快晴
福井市,26,22.3,29.3,16.8,快晴,薄曇時々晴
福井市,27,22.3,28.6,19.0,曇後雨,大雨
福井市,28,18.3,21.0,13.8,雨後曇一時晴,晴
福井市,29,17.9,25.1,11.9,晴一時曇,薄曇一時晴
福井市,30,18.9,25.3,14.9,晴,快晴
